vehicle_id,vehicle_type,cost
FUL-015,Full Size,42285.07
COM-016,Compact,19049.14
COM-019,Compact,21947.29
COM-002,Compact,22471.19
FUL-006,Full Size,35019.02
FUL-007,Full Size,40493.82
MIN-009,Minivan,42082.68
PIC-011,Pickup,43625.08
MIN-006,Minivan,33571.16
COM-004,Compact,21411.72
FUL-003,Full Size,36636.34
COM-015,Compact,28348.23
PIC-016,Pickup,41133.24
PIC-015,Pickup,39512.56
MIN-010,Minivan,38809.53
PIC-017,Pickup,47602.15
COM-006,Compact,21415.89
PIC-014,Pickup,63509.1
MIN-013,Minivan,37501.84
SUV-003,SUV,40218.1
COM-024,Compact,25845.41
MIN-014,Minivan,29609.47
MIN-001,Minivan,40950.34
COM-027,Compact,23787.14
PIC-001,Pickup,45811.68
COM-022,Compact,20162.28
FUL-024,Full Size,35396.15
SUV-018,SUV,39025.5
PIC-006,Pickup,50550.38
FUL-019,Full Size,34749.02
COM-017,Compact,26750.02
FUL-010,Full Size,32026.79
COM-013,Compact,20079.82
COM-025,Compact,23395.9
PIC-013,Pickup,47279.61
MIN-008,Minivan,34396.58
COM-026,Compact,26185.31
PIC-010,Pickup,30124.43
MIN-007,Minivan,39091.32
FUL-014,Full Size,35513.57
SUV-011,SUV,45183.97
COM-030,Compact,21837.88
COM-003,Compact,20868.74
FUL-023,Full Size,37762.95
COM-009,Compact,22132.48
SUV-020,SUV,33618.0
MIN-015,Minivan,33248.09
SUV-028,SUV,38498.5
COM-007,Compact,23895.93
COM-029,Compact,28603.27
COM-010,Compact,23642.55
FUL-018,Full Size,34157.12
PIC-003,Pickup,43349.02
FUL-029,Full Size,41830.64
COM-011,Compact,24353.49
FUL-030,Full Size,39265.44
FUL-008,Full Size,41726.11
PIC-002,Pickup,51213.37
SUV-024,SUV,43763.22
COM-005,Compact,27394.88
FUL-021,Full Size,33859.88
MIN-002,Minivan,40183.61
SUV-005,SUV,39044.64
FUL-026,Full Size,30429.66
SUV-016,SUV,46519.47
COM-012,Compact,24204.1
COM-023,Compact,24238.45
SUV-027,SUV,25641.06
COM-014,Compact,24243.65
SUV-025,SUV,43018.88
PIC-009,Pickup,32832.01
MIN-004,Minivan,37667.44
PIC-007,Pickup,35931.03
COM-020,Compact,30401.33
SUV-022,SUV,40471.91
FUL-011,Full Size,39234.52
SUV-004,SUV,36211.15
MIN-003,Minivan,33658.56
COM-001,Compact,19103.57
MIN-012,Minivan,35517.68
COM-018,Compact,24381.93
PIC-004,Pickup,54206.59
SUV-009,SUV,38800.66
FUL-022,Full Size,34481.6
FUL-001,Full Size,37015.69
SUV-001,SUV,42008.0
MIN-005,Minivan,38148.2
COM-028,Compact,26135.19
SUV-023,SUV,33761.6
FUL-002,Full Size,33683.46
FUL-004,Full Size,30064.03
SUV-008,SUV,50711.4
MIN-011,Minivan,38375.09
SUV-014,SUV,35951.96
FUL-027,Full Size,35942.39
PIC-005,Pickup,45957.88
PIC-008,Pickup,48704.1
FUL-028,Full Size,33782.09
FUL-009,Full Size,29382.36
PIC-019,Pickup,44624.03
SUV-015,SUV,41809.86
SUV-030,SUV,42736.51
SUV-029,SUV,41684.74
SUV-012,SUV,44319.77
FUL-025,Full Size,35013.58
SUV-019,SUV,29642.05
PIC-012,Pickup,38980.56
SUV-021,SUV,30028.72
COM-021,Compact,26439.23
SUV-026,SUV,40784.95
SUV-007,SUV,42390.93
PIC-020,Pickup,44393.74
FUL-012,Full Size,26037.9
FUL-017,Full Size,34363.93
SUV-002,SUV,43941.85
SUV-017,SUV,33262.61
FUL-005,Full Size,33103.49
FUL-020,Full Size,43617.65
SUV-006,SUV,35554.3
FUL-016,Full Size,39447.02
SUV-010,SUV,37966.91
FUL-013,Full Size,33684.15
SUV-013,SUV,42685.19
PIC-018,Pickup,49845.5
COM-008,Compact,26830.05
